"Result ID","Start Time ","Last Seen ","Duration ","Batch","Worker ID ","Worker Type ","MTurk Worker ID (Confirmation Code) ","State ","Message "
"2447","2021/05/05 16:34:07","2021/05/05 17:06:10","00:33:20","Default","2208","General Multiple","none(none)","FINISHED","none"
"2446","2021/05/05 16:33:57","2021/05/05 17:12:05","00:39:36","Default","2207","General Multiple","none(none)","FINISHED","none"
"2445","2021/05/05 16:33:31","2021/05/05 17:33:53","01:02:02","Default","2206","General Multiple","none(none)","FINISHED","none"
"2444","2021/05/05 16:32:50","2021/05/05 17:26:54","00:54:30","Default","2205","General Multiple","none(none)","FINISHED","none"
"2443","2021/05/05 16:32:19","2021/05/05 17:00:23","00:29:13","Default","2204","General Multiple","none(none)","FINISHED","none"
"2419","2021/05/03 16:40:26","2021/05/03 18:43:15","02:02:53","Default","2181","General Multiple","none(none)","FINISHED","none"
"2417","2021/05/03 16:35:52","2021/05/03 17:01:55","00:27:18","Default","2179","General Multiple","none(none)","FINISHED","none"
"2416","2021/05/03 16:35:49","2021/05/03 17:24:30","00:48:41 (not finished yet)","Default","2178","General Multiple","none(none)","DATA_RETRIEVED","none"
"2415","2021/05/03 16:35:45","2021/05/03 17:09:52","00:35:08","Default","2177","General Multiple","none(none)","FINISHED","none"
"2414","2021/05/03 16:35:40","2021/05/03 17:44:16","01:08:40","Default","2176","General Multiple","none(none)","FINISHED","none"
"2413","2021/05/03 16:35:17","2021/05/03 17:37:24","01:03:09","Default","2175","General Multiple","none(none)","FINISHED","none"